codigo,nombre,gestion1,gestion2
1,ACTIVO,0,0
1.1,ACTIVO CORRIENTE,0,0
1.1.1,DISPONIBILIDADES,189314286,116138957
1.1.3,CUENTAS POR COBRAR COMERCIALES,155012353,130005950
1.1.5,INVENTARIOS,245714352,266990453
2,PASIVO,0,0
2.1,PASIVO CORRIENTE,0,0
2.1.1,DEUDAS COMERCIALES,100024306,92496321
2.1.3,IMPUESTOS POR PAGAR,44189843,37064161
4,INGRESOS,0,0
4.1,VENTAS NETAS,718318478,805678961
5,COSTOS Y GASTOS,0,0
5.1,COSTO DE VENTAS,309297403,315102139
5.4,GASTOS FINANCIEROS,12499279,29530033
RESULTADO OPERATIVO,UTILIDAD OPERATIVA,46115979,88971582
UTILIDAD NETA,RESULTADO NETO DEL EJERCICIO,0,0
3,PATRIMONIO,0,0
