codigo,nombre,gestion1,gestion2
1,ACTIVO TOTAL,0,0
1.1,ACTIVO CORRIENTE,0,0
1.1.1,DISPONIBILIDADES (agrup),0,0
1.1.1.1,CAJA Y BANCOS,189314286,116138957
1.1.3,CUENTAS POR COBRAR (agrup),0,0
1.1.3.1,CUENTAS POR COBRAR COMERCIALES,155012353,130005950
1.1.5,INVENTARIOS (agrup),0,0
1.1.5.1,INVENTARIOS MERCANCÍAS,245714352,266990453
1.2,ACTIVO NO CORRIENTE,0,0
1.2.1,INVERSIONES Y ACTIVO FIJO (agrup),0,0
1.2.1.1,ACTIVO FIJO NETO,232616033,397659375
1.2.1.2,INVERSIONES PERMANENTES,17645872,79610392
2,PASIVO TOTAL,0,0
2.1,PASIVO CORRIENTE,0,0
2.1.1,DEUDAS COMERCIALES (agrup),0,0
2.1.1.1,DEUDAS COMERCIALES,100024306,92496321
2.1.2,OBLIGACIONES FINANCIERAS CORRIENTES (agrup),0,0
2.1.2.1,OBLIGACIONES FINANCIERAS CP,2440086,37195218
2.1.3,IMPUESTOS POR PAGAR (agrup),0,0
2.1.3.1,IMPUESTOS Y APORTES,44189843,37064161
2.2,PASIVO NO CORRIENTE,0,0
2.2.1,OBLIGACIONES FINANCIERAS LP (agrup),0,0
2.2.1.1,OBLIGACIONES FINANCIERAS NO CORRIENTES,18786827,124948263
3,PATRIMONIO TOTAL,0,0
3.1,PATRIMONIO (agrup),0,0
3.1.1.1,PATRIMONIO NETO,559501104,783799303
4,INGRESOS,0,0
4.1,VENTAS NETAS (agrup),0,0
4.1.1.1,VENTAS NETAS,718318478,805678961
5,GASTOS,0,0
5.1,COSTO DE VENTAS (agrup),0,0
5.1.1.1,COSTO DE VENTAS,309297403,315102139
5.4,GASTOS FINANCIEROS (agrup),0,0
5.4.1.1,GASTOS FINANCIEROS,12499279,29530033
4.8,RESULTADO OPERATIVO (agrup),0,0
4.8.1.1,RESULTADO OPERATIVO,46115979,88971582
4.9,UTILIDAD NETA (agrup),0,0
4.9.1.1,UTILIDAD NETA,28501901,65744636
